vehicle_id,vehicle_type,operator,line,speed,occupancy
1404,bus,22,624,5.12,0
1404,bus,22,624,9.8,0
1348,bus,22,123,7.0,0
1020,bus,22,259,6.44,0
1825,bus,12,1109,9.4,0
1539,bus,12,771,6.31,0
1079,train,90,292,6.69,0
1008,train,90,636,13.89,0
1116,bus,22,1108,2.69,0
1277,bus,22,59,0.13,0
1535,bus,12,91,0.07,0
1405,bus,22,244,7.82,0
1410,bus,12,824,0.11,0
20,bus,12,90,10.66,0
1165,bus,22,1108,0.98,0
925,bus,22,94,4.17,0
211,bus,6,759,3.8,0
1338,bus,12,90,7.28,0
1019,train,90,636,18.01,0
1380,bus,22,110,2.52,0
194,bus,51,811,2.26,0
1380,bus,22,110,7.82,0
194,bus,51,811,6.17,0
20,bus,12,90,5.98,0
1159,bus,22,1072,13.26,0
1216,bus,22,945,7.87,0
1008,bus,6,1110,1.57,0
1535,bus,12,91,11.46,0
627,bus,6,1107,10.24,0
1008,bus,6,1110,4.67,0
1168,bus,22,786,9.0,0
1085,bus,6,86,5.52,0
470,tram,40,31,2.52,0
1407,bus,22,624,10.36,0
443,tram,40,32,3.8,0
1926,bus,12,226,7.6,0
1057,train,90,636,10.19,0
1409,bus,22,68,7.56,0
694,bus,6,1094,11.08,0
1032,train,90,292,23.15,0
1117,bus,22,1108,4.17,0
1831,bus,12,1113,8.51,0
1005,bus,22,64,16.84,0
1068,bus,22,621,3.51,0
627,bus,6,1107,7.67,0
1375,bus,22,123,12.81,0
1410,bus,12,824,10.13,0
932,bus,22,875,0.08,0
483,bus,6,866,1.34,0
925,bus,22,94,9.0,0
1138,bus,22,1072,6.79,0
1003,train,90,288,22.02,0
1409,bus,22,68,7.35,0
1096,bus,22,1039,8.49,0
1701,bus,12,79,8.28,0
1031,train,90,636,6.53,0
1409,bus,22,68,3.24,0
1701,bus,12,79,9.08,0
1020,bus,22,259,4.28,0
1409,bus,22,68,2.08,0
1538,bus,12,226,0.02,0
1538,bus,12,226,4.02,0
2258,bus,12,133,7.1,0
1831,bus,12,1113,1.17,0
1526,bus,12,785,11.79,0
421,tram,40,1145,9.62,0
1008,train,90,636,22.38,0
1405,bus,22,244,10.95,0
1017,bus,22,875,16.05,0
1033,train,90,636,17.85,0
249,bus,6,1041,10.65,0
627,bus,6,1107,5.14,0
1116,bus,22,1108,0.05,0
1059,train,90,279,14.25,0
2234,bus,12,810,8.23,0
249,bus,6,1041,13.22,0
1044,bus,6,369,7.46,0
1330,bus,12,810,7.03,0
463,bus,6,935,9.52,0
466,bus,6,1042,0.01,0
1519,bus,12,1109,10.38,0
1053,bus,22,68,5.97,0
414,bus,6,102,0.75,0
1825,bus,12,1109,0.0,0
1005,bus,22,64,17.93,0
1159,bus,22,1072,15.86,0
103,tram,40,40,4.17,0
1017,bus,22,875,4.87,0
20,bus,12,90,10.21,0
1025,bus,6,678,21.78,0
444,bus,6,911,8.66,0
19,bus,12,91,1.2,0
1330,bus,12,810,10.09,0
1358,bus,22,539,3.4,0
1346,bus,22,113,7.15,0
1019,bus,6,678,23.63,0
1519,bus,12,1109,0.01,0
1409,bus,22,68,5.95,0
1362,bus,22,117,6.58,0
1218,bus,22,945,5.96,0
1833,bus,12,743,15.59,0
1004,bus,22,875,0.15,0
1405,bus,22,244,10.19,0
638,bus,6,221,3.14,0
249,bus,6,1041,11.47,0
1410,bus,12,824,22.66,0
292,bus,6,107,5.92,0
1410,bus,12,824,19.47,0
1057,bus,22,64,9.25,0
1240,bus,22,51,9.61,0
226,bus,6,72,9.03,0
662,bus,6,369,9.88,0
6301,train,90,286,22.41,0
15,bus,17,1096,6.22,0
1044,bus,6,369,11.37,0
1265,bus,22,51,10.4,0
946,bus,22,237,7.51,0
1348,bus,22,123,8.95,0
1926,bus,12,226,5.15,0
1019,train,90,636,11.94,0
1045,train,90,292,16.46,0
1096,bus,22,1039,9.19,0
1832,bus,12,1113,4.37,0
1287,bus,22,259,9.02,0
1831,bus,12,1113,8.07,0
1831,bus,12,1113,8.3,0
1402,bus,22,245,9.69,0
1216,bus,22,945,4.28,0
1833,bus,12,743,13.22,0
1068,bus,22,621,4.91,0
292,bus,6,107,8.44,0
1059,train,90,279,17.29,0
1099,bus,22,860,8.69,0
1099,bus,22,860,6.79,0
226,bus,6,72,8.81,0
665,bus,47,44,4.21,0
665,bus,47,44,6.42,0
211,bus,6,759,4.6,0
474,bus,6,459,8.85,0
1096,bus,22,1039,5.87,0
1075,train,90,292,20.68,0
1362,bus,22,117,7.9,0
1019,train,90,636,12.09,0
1075,train,90,292,16.57,0
1019,train,90,636,11.47,0
463,bus,6,935,10.08,0
463,bus,6,935,11.06,0
1075,train,90,292,3.09,0
1117,bus,22,1108,9.72,0
1032,train,90,292,20.06,0
927,bus,6,77,7.22,0
949,bus,22,237,6.16,0
1538,bus,12,226,0.07,0
1205,bus,22,94,7.61,0
1004,bus,22,875,4.96,0
1116,bus,22,1108,6.55,0
1116,bus,22,1108,6.59,0
20,bus,12,90,4.28,0
1372,bus,22,110,3.86,0
1017,bus,6,678,9.97,0
292,bus,6,107,9.88,0
1116,bus,22,1108,10.82,0
623,tram,40,1142,11.75,0
249,bus,6,1041,12.76,0
444,bus,6,911,3.41,0
1330,bus,12,810,7.88,0
483,bus,6,866,3.34,0
1407,bus,22,624,7.24,0
1030,bus,6,581,2.36,0
1096,bus,22,1039,7.99,0
466,bus,6,1042,10.67,0
1022,bus,22,259,21.63,0
1539,bus,12,771,6.92,0
1831,bus,12,1113,0.03,0
278,bus,6,866,10.11,0
667,bus,47,44,13.09,0
1277,bus,22,59,9.5,0
1375,bus,22,123,10.34,0
2422,bus,12,783,0.0,0
249,bus,6,1041,11.94,0
444,bus,6,911,8.27,0
444,bus,6,911,9.16,0
443,tram,40,32,1.61,0
1926,bus,12,226,6.81,0
439,tram,40,30,0.46,0
1019,train,90,636,12.45,0
454,tram,40,38,4.58,0
454,tram,40,38,6.02,0
1068,bus,6,56,0.79,0
1701,bus,12,79,7.98,0
1199,bus,22,109,7.72,0
965,bus,6,56,10.03,0
1022,bus,22,259,20.49,0
470,bus,6,1038,0.42,0
1068,train,90,292,9.83,0
421,tram,40,1145,5.61,0
1004,bus,22,875,5.48,0
1108,bus,6,964,4.61,0
1083,bus,6,80,9.36,0
6301,train,90,286,20.36,0
638,bus,6,221,7.61,0
1372,bus,22,110,5.04,0
1108,bus,6,964,3.21,0
1412,bus,22,68,4.98,0
1017,bus,6,678,6.66,0
932,bus,22,875,5.52,0
1214,bus,12,360,2.94,0
1057,bus,22,64,4.8,0
470,tram,40,31,3.91,0
1265,bus,22,51,11.1,0
1407,bus,22,624,9.33,0
466,bus,6,1042,5.8,0
1212,bus,12,824,0.58,0
949,bus,22,237,7.87,0
1538,bus,12,226,8.33,0
421,tram,40,1145,10.44,0
262,bus,6,866,4.02,0
1372,bus,22,110,9.52,0
1068,bus,22,621,2.79,0
1405,bus,22,244,9.18,0
1820,bus,12,1113,1.45,0
928,bus,22,786,9.29,0
444,bus,6,911,6.48,0
1168,bus,22,786,5.92,0
662,bus,6,369,8.13,0
1330,bus,12,810,0.07,0
2248,bus,12,138,2.31,0
1047,bus,22,73,9.46,0
466,bus,6,1042,8.55,0
1519,bus,12,1109,0.07,0
1096,bus,22,1039,7.94,0
1409,bus,22,68,8.6,0
1832,bus,12,1113,18.03,0
1019,train,90,636,10.34,0
414,bus,6,102,10.3,0
694,bus,6,1094,10.64,0
1539,bus,12,771,9.32,0
927,bus,6,77,3.27,0
1538,bus,12,226,3.91,0
262,bus,6,866,8.59,0
1412,bus,22,68,2.96,0
1402,bus,22,245,8.41,0
1090,bus,6,102,11.03,0
1205,bus,22,94,4.37,0
638,bus,6,221,12.76,0
1526,bus,12,785,13.68,0
935,bus,6,77,15.23,0
949,bus,22,237,5.3,0
