stop1,stop2
4130230.0,4140206
4140206.0,4140225
4140225.0,4140230
4140230.0,4140233
4140233.0,4140247
4140247.0,4140248
4140248.0,4150204
4150204.0,4150208
4150208.0,4150209
4150209.0,4150210
4150210.0,4150211
4150211.0,4150212
4150212.0,4150214
4150214.0,4150215
4150215.0,4150216
4150216.0,4150219
4150219.0,4150221
4150221.0,4150222
4150222.0,4150223
4150223.0,4150225
4150225.0,4150226
4150226.0,4150227
4150227.0,4150228
4150228.0,4150259
4150259.0,4150261
4150261.0,4150262
4150262.0,4150263
4150263.0,4150264
4150264.0,4150265
4150265.0,4150266
4150266.0,4150276
4150276.0,4150297
4150297.0,4150298
4150298.0,4150502
4150502.0,4150552
4150552.0,4160211
4160211.0,4160224
4160224.0,4160232
4160232.0,4160299
4160299.0,4170209
4170209.0,4170215
4170215.0,4170216
4170216.0,4170217
4170217.0,4170223
4170223.0,4170231
4170231.0,4170237
4170237.0,4170239
4170239.0,4170240
4170240.0,4170244
4170244.0,4170247
4170247.0,4170299
4170299.0,4170501
4170501.0,4170551
4170551.0,4170552
4170552.0,4180211
4180211.0,4180223
4180223.0,4180225
4180225.0,4180226
4180226.0,4200203
4200203.0,4200211
4200211.0,4210202
4210202.0,4210204
4210204.0,4210297
4210297.0,4210299
4210299.0,4220231
4220231.0,4230203
4230203.0,4230209
4230209.0,4230212
4230212.0,4230219
4230219.0,4230228
4230228.0,4230234
4230234.0,4230236
4230236.0,4230261
4230261.0,4240201
4240201.0,4240204
4240204.0,4240213
4240213.0,4240227
4240227.0,4250210
4250210.0,4250211
4250211.0,4320216
4320216.0,4320218
4320218.0,4400217
4400217.0,4400221
4400221.0,4410213
4410213.0,4410233
4410233.0,4410264
4410264.0,4410297
4410297.0,4410298
4410298.0,4410299
4410299.0,4500213
4500213.0,4500218
4500218.0,4510203
4510203.0,4510204
4510204.0,4510206
4510206.0,4510208
4510208.0,4510212
4510212.0,4510219
4510219.0,4510220
4510220.0,4510221
4510221.0,4510226
4510226.0,4510232
4510232.0,4510237
4510237.0,4510240
4510240.0,4510251
4510251.0,4510257
4510257.0,4510258
4510258.0,4520215
4520215.0,4520219
4520219.0,4520236
4520236.0,4520266
4520266.0,4520269
4520269.0,4530203
4530203.0,4530209
4530209.0,4530214
4530214.0,4530221
4530221.0,4530222
4530222.0,4530230
4530230.0,4530250
4530250.0,4530259
4530259.0,4600206
4600206.0,4600208
4600208.0,4600210
4600210.0,4600501
4600501.0,4600551
4600551.0,4610204
4610204.0,4610205
4610205.0,4610206
4610206.0,4610207
4610207.0,4610210
4610210.0,4610211
4610211.0,4610227
4610227.0,4610237
4610237.0,4610246
4610246.0,4610247
4610247.0,4610248
4610248.0,4610249
4610249.0,4610251
4610251.0,4610252
4610252.0,4610253
4610253.0,4610501
4610501.0,4610551
4610551.0,4620205
4620205.0,4620206
4620206.0,4620227
4620227.0,4630209
4630209.0,4640212
4640212.0,4640213
4640213.0,4640214
4640214.0,4640227
4640227.0,4640229
4640229.0,4640233
4640233.0,4650201
4650201.0,4650204
4650204.0,4650206
4650206.0,4650208
4650208.0,4650209
4650209.0,4660215
4660215.0,4660221
4660221.0,4660294
4660294.0,4670205
4670205.0,4670217
4670217.0,4670219
4670219.0,4680206
4680206.0,4680208
4680208.0,4680218
4680218.0,4680219
4680219.0,4680223
4680223.0,4680224
4680224.0,4680226
4680226.0,4680227
4680227.0,4680228
4680228.0,4680249
4680249.0,4680250
4680250.0,4690203
4690203.0,4700201
4700201.0,4700202
4700202.0,4700207
4700207.0,4700209
4700209.0,4700210
4700210.0,4700211
4700211.0,4700219
4700219.0,4700224
4700224.0,4700226
4700226.0,4700227
4700227.0,4700228
4700228.0,4700231
4700231.0,4710207
4710207.0,4710208
4710208.0,4710209
4710209.0,4710227
4710227.0,4710229
4710229.0,4720204
4720204.0,4720209
4720209.0,4720216
4720216.0,4720225
4720225.0,4730204
4730204.0,4730210
4730210.0,4730501
4730501.0,4730551
4730551.0,4740204
