trip_id,route_id,start_time,start_date,direction,total_stops
,4571,2025-01-31 18:33:00,2025-01-30,1,46
,1057,2025-01-31 19:18:00,2025-01-30,2,39
,3002Y,2025-01-31 19:23:00,2025-01-30,1,9
,4400,2025-01-31 19:10:00,2025-01-30,2,29
,2114,2025-01-31 19:05:00,2025-01-30,1,35
,1004,2025-01-31 19:00:00,2025-01-30,1,29
,4335,2025-01-31 18:30:00,2025-01-30,2,53
,1070,2025-01-31 18:57:00,2025-01-30,1,32
,1023,2025-01-31 19:14:00,2025-01-30,2,35
,1083,2025-01-31 19:16:00,2025-01-30,1,16
,1078,2025-01-31 19:18:00,2025-01-30,1,1
,4711,2025-01-31 18:58:00,2025-01-30,2,21
,1081,2025-01-31 18:53:00,2025-01-30,2,20
,3002U,2025-01-31 18:42:00,2025-01-30,1,15
,2212,2025-01-31 19:07:00,2025-01-30,2,41
,2224,2025-01-31 19:01:00,2025-01-30,2,39
,1025,2025-01-31 19:06:00,2025-01-30,1,23
,4561,2025-01-31 18:37:00,2025-01-30,1,61
,1003,2025-01-31 18:37:00,2025-01-30,2,31
,1006,2025-01-31 19:10:00,2025-01-30,1,23
,1030,2025-01-31 18:55:00,2025-01-30,2,41
,2124,2025-01-31 18:52:00,2025-01-30,2,29
,1041,2025-01-31 19:14:00,2025-01-30,2,26
,1040,2025-01-31 18:48:00,2025-01-30,2,24
,1059,2025-01-31 18:29:00,2025-01-30,2,36
,2124,2025-01-31 18:59:00,2025-01-30,1,31
,1040,2025-01-31 18:36:00,2025-01-30,1,24
,1008,2025-01-31 18:40:00,2025-01-30,1,24
,1030,2025-01-31 18:32:00,2025-01-30,1,40
,1037,2025-01-31 19:13:00,2025-01-30,2,35
,2213,2025-01-31 18:34:00,2025-01-30,2,43
,2533,2025-01-31 19:22:00,2025-01-30,1,1
,2510,2025-01-31 19:00:00,2025-01-30,1,36
,4731,2025-01-31 18:39:00,2025-01-30,1,35
,9985,2025-01-31 19:10:00,2025-01-30,2,34
,4561,2025-01-31 18:27:00,2025-01-30,2,60
,1081,2025-01-31 18:53:00,2025-01-30,1,20
,1052,2025-01-31 18:32:00,2025-01-30,2,41
,9665K,2025-01-31 18:47:00,2025-01-30,2,50
,9641,2025-01-31 18:39:00,2025-01-30,1,53
,2214,2025-01-31 19:04:00,2025-01-30,1,23
,4561,2025-01-31 18:17:00,2025-01-30,1,61
,2236,2025-01-31 19:16:00,2025-01-30,1,2
,4522,2025-01-31 18:56:00,2025-01-30,1,35
,4735,2025-01-31 18:51:00,2025-01-30,2,39
,4739,2025-01-31 18:35:00,2025-01-30,2,54
,1055,2025-01-31 18:55:00,2025-01-30,2,22
,2542,2025-01-31 18:41:00,2025-01-30,1,47
,1001,2025-01-31 18:56:00,2025-01-30,2,31
,1089,2025-01-31 19:14:00,2025-01-30,1,11
,2015,2025-01-31 18:57:00,2025-01-30,2,34
,9642,2025-01-31 19:16:00,2025-01-30,1,33
,2118,2025-01-31 19:13:00,2025-01-30,1,32
,5530,2025-01-31 18:31:00,2025-01-30,2,36
,3001Z,2025-01-31 18:35:00,2025-01-30,1,8
,1059,2025-01-31 18:50:00,2025-01-30,1,37
,2118,2025-01-31 18:58:00,2025-01-30,1,32
,5520,2025-01-31 19:11:00,2025-01-30,2,37
,1023,2025-01-31 18:33:00,2025-01-30,1,35
,1001,2025-01-31 19:20:00,2025-01-30,2,1
,2531,2025-01-31 19:05:00,2025-01-30,2,32
,3001R,2025-01-31 18:40:00,2025-01-30,1,10
,4600,2025-01-31 19:19:00,2025-01-30,1,1
,1040,2025-01-31 19:00:00,2025-01-30,2,24
,2165,2025-01-31 19:08:00,2025-01-30,2,27
,1004,2025-01-31 19:13:00,2025-01-30,1,29
,1002,2025-01-31 19:09:00,2025-01-30,2,25
,2111,2025-01-31 19:12:00,2025-01-30,2,33
,2200,2025-01-31 18:20:00,2025-01-30,1,33
,1002,2025-01-31 19:09:00,2025-01-30,1,25
,1092,2025-01-31 19:19:00,2025-01-30,1,1
,2510,2025-01-31 18:48:00,2025-01-30,1,36
,1025,2025-01-31 19:06:00,2025-01-30,2,24
,1003,2025-01-31 19:12:00,2025-01-30,2,31
,4560,2025-01-31 19:10:00,2025-01-30,2,35
,1080,2025-01-31 19:20:00,2025-01-30,2,1
,2502,2025-01-31 19:07:00,2025-01-30,2,23
,5520,2025-01-31 18:34:00,2025-01-30,1,37
,2202,2025-01-31 19:09:00,2025-01-30,2,19
,3001K,2025-01-31 19:01:00,2025-01-30,1,15
,1054,2025-01-31 19:05:00,2025-01-30,1,29
